tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,7600.0,450.0,0.0,100,3,3,7917.0,260.0,4000,1,ARRIVAL,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:4000:8005:304:94:128,entry,arrival
0,BOSS_FIGHT,7605.0,450.0,0.0,100,3,3,7917.0,260.0,4000,1,READY,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:4000:8005:304:94:128,left-organ,aim:left-organ
64,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3967,1,SPORE_FAN,80,0,0,0,0,left-organ:280:7917:383:64:87|right-organ:400:8123:383:64:87|core:3967:8005:304:94:128,left-organ,aim:left-organ
120,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3937,1,SPORE_FAN,28,0,0,0,0,left-organ:170:7917:383:64:87|right-organ:400:8123:383:64:87|core:3937:8005:304:94:128,left-organ,aim:left-organ
152,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3914,1,READY,0,0,0,0,8,left-organ:85:7917:383:64:87|right-organ:400:8123:383:64:87|core:3914:8005:304:94:128,left-organ,aim:left-organ
228,BOSS_FIGHT,7780.0,340.8,-5.8,100,3,3,7917.0,260.0,3897,1,LEFT_TENDRIL,82,0,0,0,5,left-organ:25:7917:383:64:87|right-organ:400:8123:383:64:87|core:3897:8005:304:94:128,left-organ,aim:left-organ
240,BOSS_FIGHT,7720.0,318.0,1.4,100,3,3,7917.0,260.0,3894,1,LEFT_TENDRIL,70,0,0,0,3,left-organ:15:7917:383:64:87|right-organ:400:8123:383:64:87|core:3894:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
263,BOSS_FIGHT,7715.0,450.0,0.0,100,3,3,7917.0,260.0,3887,1,READY,0,0,0,0,1,left-organ:0:7917:383:64:87|right-organ:400:8123:383:64:87|core:3887:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
319,BOSS_FIGHT,7960.0,450.0,0.0,95,3,3,7917.0,260.0,3859,1,READY,0,0,0,0,1,left-organ:0:7917:383:64:87|right-organ:325:8123:383:64:87|core:3859:8005:304:94:128,right-organ,damage:aim:right-organ
337,BOSS_FIGHT,7975.0,450.0,0.0,95,3,3,7917.0,260.0,3846,1,HATCH,95,0,0,0,1,left-organ:0:7917:383:64:87|right-organ:275:8123:383:64:87|core:3846:8005:304:94:128,right-organ,aim:right-organ
360,BOSS_FIGHT,7975.0,450.0,0.0,95,3,3,7917.0,260.0,3835,1,HATCH,73,0,0,0,1,left-organ:0:7917:383:64:87|right-organ:250:8123:383:64:87|core:3835:8005:304:94:128,right-organ,aim:right-organ
438,BOSS_FIGHT,7975.0,450.0,0.0,90,3,3,7917.0,260.0,3793,1,HATCH,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:125:8123:383:64:87|core:3793:8005:304:94:128,right-organ,damage:aim:right-organ
439,BOSS_FIGHT,7975.0,450.0,0.0,90,3,3,7917.0,260.0,3793,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:125:8123:383:64:87|core:3793:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
480,BOSS_FIGHT,7980.0,450.0,0.0,90,3,3,7917.0,260.0,3789,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:125:8123:383:64:87|core:3789:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
502,BOSS_FIGHT,7980.0,450.0,0.0,85,3,3,7917.0,260.0,3785,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:125:8123:383:64:87|core:3785:8005:304:94:128,right-organ,damage:aim:right-organ
518,BOSS_FIGHT,7980.0,450.0,0.0,85,3,3,7917.0,260.0,3778,1,RIGHT_TENDRIL,82,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:100:8123:383:64:87|core:3778:8005:304:94:128,right-organ,aim:right-organ
593,BOSS_FIGHT,7910.0,450.0,0.0,85,3,3,7917.0,260.0,3743,1,EXPOSED,0,260,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3743:8005:304:94:128,right-organ,evade:RIGHT_TENDRIL
600,BOSS_FIGHT,7900.0,437.6,-12.4,85,3,3,7917.0,260.0,3743,1,EXPOSED,0,258,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3743:8005:304:94:128,core,aim:core
720,BOSS_FIGHT,7890.0,360.0,0.0,85,3,3,7917.0,260.0,3677,1,EXPOSED,0,138,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3677:8005:304:94:128,core,aim:core
840,BOSS_FIGHT,7890.0,360.0,0.0,85,3,3,7917.0,260.0,3611,1,EXPOSED,0,18,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3611:8005:304:94:128,core,aim:core
858,BOSS_FIGHT,7890.0,360.0,0.0,85,3,3,7917.0,260.0,3589,1,REBUILD,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3589:8005:304:94:128,core,aim:core
960,BOSS_FIGHT,7890.0,360.0,0.0,85,3,3,7917.0,260.0,3577,1,REBUILD,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3577:8005:304:94:128,core,aim:core
968,BOSS_FIGHT,7890.0,360.0,0.0,85,3,3,7917.0,260.0,3577,1,READY,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:3577:8005:304:94:128,core,aim:core
1019,BOSS_FIGHT,7780.0,450.0,0.0,85,3,3,7917.0,260.0,3563,1,SPORE_FAN,80,0,0,0,0,left-organ:365:7917:383:64:87|right-organ:400:8123:383:64:87|core:3563:8005:304:94:128,left-organ,aim:left-organ
1080,BOSS_FIGHT,7785.0,450.0,0.0,85,3,3,7917.0,260.0,3533,1,SPORE_FAN,23,0,0,0,0,left-organ:255:7917:383:64:87|right-organ:400:8123:383:64:87|core:3533:8005:304:94:128,left-organ,aim:left-organ
1107,BOSS_FIGHT,7785.0,450.0,0.0,85,3,3,7917.0,260.0,3510,1,READY,0,0,0,0,8,left-organ:170:7917:383:64:87|right-organ:400:8123:383:64:87|core:3510:8005:304:94:128,left-organ,aim:left-organ
1183,BOSS_FIGHT,7785.0,318.6,-2.2,85,3,3,7917.0,260.0,3490,1,LEFT_TENDRIL,82,0,0,0,8,left-organ:100:7917:383:64:87|right-organ:400:8123:383:64:87|core:3490:8005:304:94:128,left-organ,aim:left-organ
1200,BOSS_FIGHT,7715.0,365.0,7.4,85,3,3,7917.0,260.0,3480,1,LEFT_TENDRIL,66,0,0,0,6,left-organ:100:7917:383:64:87|right-organ:400:8123:383:64:87|core:3480:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
1249,BOSS_FIGHT,7715.0,450.0,0.0,85,3,3,7917.0,260.0,3443,1,READY,0,0,0,0,4,left-organ:0:7917:383:64:87|right-organ:400:8123:383:64:87|core:3443:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
1304,BOSS_FIGHT,7960.0,450.0,0.0,80,3,3,7917.0,260.0,3421,1,READY,0,0,0,0,4,left-organ:0:7917:383:64:87|right-organ:350:8123:383:64:87|core:3421:8005:304:94:128,right-organ,damage:aim:right-organ
1320,BOSS_FIGHT,7975.0,450.0,0.0,80,3,3,7917.0,260.0,3414,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:325:8123:383:64:87|core:3414:8005:304:94:128,right-organ,aim:right-organ
1321,BOSS_FIGHT,7975.0,450.0,0.0,80,3,3,7917.0,260.0,3414,1,HATCH,95,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:325:8123:383:64:87|core:3414:8005:304:94:128,right-organ,aim:right-organ
1423,BOSS_FIGHT,7975.0,450.0,0.0,75,3,3,7917.0,260.0,3355,1,HATCH,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3355:8005:304:94:128,right-organ,damage:aim:right-organ
1424,BOSS_FIGHT,7975.0,450.0,0.0,75,3,3,7917.0,260.0,3355,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3355:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
1440,BOSS_FIGHT,7980.0,450.0,0.0,75,3,3,7917.0,260.0,3351,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3351:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
1483,BOSS_FIGHT,7980.0,450.0,0.0,70,3,3,7917.0,260.0,3347,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3347:8005:304:94:128,enemy:LURKER,damage:aim:enemy:LURKER
1502,BOSS_FIGHT,7980.0,450.0,0.0,70,3,3,7917.0,260.0,3347,1,RIGHT_TENDRIL,82,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3347:8005:304:94:128,right-organ,aim:right-organ
1560,BOSS_FIGHT,7910.0,450.0,0.0,70,3,3,7917.0,260.0,3325,1,RIGHT_TENDRIL,26,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:100:8123:383:64:87|core:3325:8005:304:94:128,right-organ,evade:RIGHT_TENDRIL
1607,BOSS_FIGHT,7910.0,450.0,0.0,70,3,3,7917.0,260.0,3301,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:25:8123:383:64:87|core:3301:8005:304:94:128,right-organ,evade:RIGHT_TENDRIL
1615,BOSS_FIGHT,7950.0,450.0,0.0,70,3,3,7917.0,260.0,3294,1,EXPOSED,0,260,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3294:8005:304:94:128,right-organ,aim:right-organ
1680,BOSS_FIGHT,7890.0,360.0,0.0,70,3,3,7917.0,260.0,3250,1,EXPOSED,0,200,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3250:8005:304:94:128,core,aim:core
