tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,9900.0,450.0,0.0,100,3,3,10217.0,260.0,6100,1,ARRIVAL,0,0,0,0,0,left-organ:610:10217:383:64:87|right-organ:610:10423:383:64:87|core:6100:10305:304:94:128,entry,arrival
0,BOSS_FIGHT,9905.0,450.0,0.0,100,3,3,10217.0,260.0,6100,1,READY,0,0,0,0,0,left-organ:610:10217:383:64:87|right-organ:610:10423:383:64:87|core:6100:10305:304:94:128,left-organ,aim:left-organ
53,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6067,1,SPORE_FAN,80,0,0,0,0,left-organ:490:10217:383:64:87|right-organ:610:10423:383:64:87|core:6067:10305:304:94:128,left-organ,aim:left-organ
120,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6037,1,SPORE_FAN,17,0,0,0,0,left-organ:380:10217:383:64:87|right-organ:610:10423:383:64:87|core:6037:10305:304:94:128,left-organ,aim:left-organ
139,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6027,1,READY,0,0,0,0,8,left-organ:345:10217:383:64:87|right-organ:610:10423:383:64:87|core:6027:10305:304:94:128,left-organ,aim:left-organ
203,BOSS_FIGHT,10115.0,450.0,0.0,100,3,3,10217.0,260.0,6001,1,LEFT_TENDRIL,82,0,0,0,7,left-organ:250:10217:383:64:87|right-organ:610:10423:383:64:87|core:6001:10305:304:94:128,left-organ,aim:left-organ
240,BOSS_FIGHT,10040.0,381.6,8.6,100,3,3,10217.0,260.0,6001,1,LEFT_TENDRIL,45,0,0,0,4,left-organ:250:10217:383:64:87|right-organ:610:10423:383:64:87|core:6001:10305:304:94:128,left-organ,evade:LEFT_TENDRIL
303,BOSS_FIGHT,10045.0,450.0,0.0,100,3,3,10217.0,260.0,5995,1,READY,0,0,0,0,2,left-organ:230:10217:383:64:87|right-organ:610:10423:383:64:87|core:5995:10305:304:94:128,left-organ,evade:LEFT_TENDRIL
360,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,5962,1,READY,0,0,0,0,0,left-organ:110:10217:383:64:87|right-organ:610:10423:383:64:87|core:5962:10305:304:94:128,left-organ,aim:left-organ
368,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,5962,1,HATCH,95,0,0,0,0,left-organ:110:10217:383:64:87|right-organ:610:10423:383:64:87|core:5962:10305:304:94:128,left-organ,aim:left-organ
414,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,5932,1,READY,0,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5932:10305:304:94:128,left-organ,aim:left-organ
459,BOSS_FIGHT,10242.0,450.0,0.0,82,3,3,10217.0,260.0,5908,1,READY,0,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:535:10423:383:64:87|core:5908:10305:304:94:128,right-organ,damage:aim:right-organ
474,BOSS_FIGHT,10272.0,450.0,0.0,82,3,3,10217.0,260.0,5904,1,RIGHT_TENDRIL,82,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:535:10423:383:64:87|core:5904:10305:304:94:128,right-organ,aim:right-organ
480,BOSS_FIGHT,10247.0,450.0,0.0,82,3,3,10217.0,260.0,5897,1,RIGHT_TENDRIL,77,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:510:10423:383:64:87|core:5897:10305:304:94:128,right-organ,evade:RIGHT_TENDRIL
581,BOSS_FIGHT,10202.0,450.0,0.0,82,3,3,10217.0,260.0,5845,1,READY,0,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:360:10423:383:64:87|core:5845:10305:304:94:128,right-organ,evade:RIGHT_TENDRIL
594,BOSS_FIGHT,10244.0,450.0,0.0,64,3,3,10217.0,260.0,5838,1,READY,0,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:335:10423:383:64:87|core:5838:10305:304:94:128,right-organ,damage:aim:right-organ
600,BOSS_FIGHT,10274.0,450.0,0.0,64,3,3,10217.0,260.0,5838,1,READY,0,0,0,0,0,left-organ:0:10217:383:64:87|right-organ:335:10423:383:64:87|core:5838:10305:304:94:128,right-organ,aim:right-organ
