tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,9900.0,450.0,0.0,100,3,3,10217.0,260.0,6100,1,ARRIVAL,0,0,0,0,0,left-organ:610:10217:383:64:87|right-organ:610:10423:383:64:87|core:6100:10305:304:94:128,entry,arrival
0,BOSS_FIGHT,9905.0,450.0,0.0,100,3,3,10217.0,260.0,6100,1,READY,0,0,0,0,0,left-organ:610:10217:383:64:87|right-organ:610:10423:383:64:87|core:6100:10305:304:94:128,left-organ,aim:left-organ
53,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6073,1,SPORE_FAN,80,0,0,0,0,left-organ:510:10217:383:64:87|right-organ:610:10423:383:64:87|core:6073:10305:304:94:128,left-organ,aim:left-organ
120,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6052,1,SPORE_FAN,16,0,0,0,0,left-organ:435:10217:383:64:87|right-organ:610:10423:383:64:87|core:6052:10305:304:94:128,left-organ,aim:left-organ
138,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6045,1,READY,0,0,0,0,8,left-organ:410:10217:383:64:87|right-organ:610:10423:383:64:87|core:6045:10305:304:94:128,left-organ,aim:left-organ
202,BOSS_FIGHT,10115.0,450.0,0.0,100,3,3,10217.0,260.0,6025,1,LEFT_TENDRIL,82,0,0,0,7,left-organ:335:10217:383:64:87|right-organ:610:10423:383:64:87|core:6025:10305:304:94:128,left-organ,aim:left-organ
240,BOSS_FIGHT,10045.0,390.8,9.2,100,3,3,10217.0,260.0,6025,1,LEFT_TENDRIL,44,0,0,0,4,left-organ:335:10217:383:64:87|right-organ:610:10423:383:64:87|core:6025:10305:304:94:128,left-organ,evade:LEFT_TENDRIL
302,BOSS_FIGHT,10045.0,450.0,0.0,100,3,3,10217.0,260.0,6025,1,READY,0,0,0,0,2,left-organ:335:10217:383:64:87|right-organ:610:10423:383:64:87|core:6025:10305:304:94:128,left-organ,evade:LEFT_TENDRIL
360,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6004,1,READY,0,0,0,0,0,left-organ:260:10217:383:64:87|right-organ:610:10423:383:64:87|core:6004:10305:304:94:128,left-organ,aim:left-organ
366,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,6004,1,HATCH,95,0,0,0,0,left-organ:260:10217:383:64:87|right-organ:610:10423:383:64:87|core:6004:10305:304:94:128,left-organ,aim:left-organ
468,BOSS_FIGHT,10070.0,450.0,0.0,100,3,3,10217.0,260.0,5963,1,READY,0,0,0,2,0,left-organ:110:10217:383:64:87|right-organ:610:10423:383:64:87|core:5963:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
480,BOSS_FIGHT,10075.0,450.0,0.0,100,3,3,10217.0,260.0,5956,1,READY,0,0,0,2,0,left-organ:85:10217:383:64:87|right-organ:610:10423:383:64:87|core:5956:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
536,BOSS_FIGHT,10075.0,450.0,0.0,100,3,3,10217.0,260.0,5929,1,RIGHT_TENDRIL,82,0,0,2,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5929:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
600,BOSS_FIGHT,9925.0,450.0,0.0,100,3,3,10217.0,260.0,5929,1,RIGHT_TENDRIL,18,0,0,2,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5929:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
636,BOSS_FIGHT,9925.0,450.0,0.0,100,3,3,10217.0,260.0,5929,1,READY,0,0,0,2,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5929:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
697,BOSS_FIGHT,9830.0,450.0,0.0,100,3,3,10217.0,260.0,5929,1,SPORE_FAN,80,0,0,2,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5929:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
720,BOSS_FIGHT,9830.0,450.0,0.0,100,3,3,10217.0,260.0,5929,1,SPORE_FAN,61,0,0,1,0,left-organ:0:10217:383:64:87|right-organ:610:10423:383:64:87|core:5929:10305:304:94:128,enemy:LURKER,aim:enemy:LURKER
